app_id,app_name,review_text,review_score,review_votes,sarcasm_label
10,Counter-Strike,Ruined my life.,1,0,1
10,Counter-Strike,This game saved my virginity.,1,0,1
10,Counter-Strike,â€¢ Do you like original games? â€¢ Do you like games that don't lag? â€¢ Do you like games you can run on low end PC's? â€¢ Do you like games where you don't meet children who have slept with your mother?  Then this is for you!,1,0,1
10,Counter-Strike,"        Easy to learn, hard to master.          ",1,1,0
10,Counter-Strike,"No r8 revolver, 10/10 will play again.",1,1,1
10,Counter-Strike,Still better than Call of Duty: Ghosts...,1,1,0
10,Counter-Strike,"cant buy skins, cases, keys, stickers - gaben cant steal our money 10/10 would play again",1,1,1
10,Counter-Strike,Every server is spanish or french. I can now fluently swear in both languages 9/10,1,0,1
10,Counter-Strike,Fire in the Hole Simulator 1999,1,0,1
10,Counter-Strike,"I never played a better first person shooter. Graphics doesn't matter for gamer, gameplay only.",1,1,0
10,Counter-Strike,"WARNING : DO NOT buy this game, if you do, you'll never see the sunlight again !",1,1,1
10,Counter-Strike,It's... aight.,1,1,0
10,Counter-Strike,I met a lot of people who slept with my mother. 10/10,1,1,1
10,Counter-Strike,Ruined my life. 10/10,1,1,1
10,Counter-Strike,"When you crouch, you lift your feet in the air and fall to the ground. It's allright.",1,1,1
10,Counter-Strike,Best shooter for 10 years. Steam evolved because of this game.,1,0,0
10,Counter-Strike,"One of the best FPS Games, the 1.6 Version will stay always in our hearts. I recommend it vor everyone who wants a tactical/action shooter.",1,1,0
10,Counter-Strike,"Many players learned here what do wellknown terms like lag, noob or ragequit mean. Oh how i miss old 1.6 days.   9/10",1,1,0
10,Counter-Strike,Playing it since 2010. Still bad at it.   10/10 Best game in CS series.,1,1,0
10,Counter-Strike,This game is the best game forever &lt;3,1,1,0
10,Counter-Strike,"Blame this game for the rise of the online multiplayer modern military shooter. Good game, great custom maps, terrible community. Not much has really changed since 2000, has it?  I don't think anyone still plays this particular version of CS though.  Edit: Wait, there are over 8,000 people in-game right now. Wow... guess I have to give this a 'yes' then because it isn't dead.",1,1,0
10,Counter-Strike,"2006 4:3  800x600 Resolution Windows XP 2001 office computer, fully white White keyboard, grey characters  White mouse, grey scroll wheel  Public library  Half of the people in the room are playing cs   After more than a decade later, this game is still alive. ",1,1,0
10,Counter-Strike,Best game ever! Started my gaming addiction :D,1,1,0
10,Counter-Strike,Probably the best FPS shooter ever made. Nothing can beat Counter-Strike 1.6.,1,0,0
10,Counter-Strike,Playing this game since 2001. It ruined my life. Five stars.,1,0,1
10,Counter-Strike,"  Update to my review with some shameless advertising 05/10/2016:   Hey readers. I am now hosting a server on CS 1.6 where you can play and enjoy the fun experiences I did back in the day.   Map rotations vary from Vehicle, Aim, Surf, Knife, Defusal, and Hostage maps! IP Address: 173.199.73.78:27025     Review 21/10/2014:   I've played this game since I was around 6 years old back in 2002 and it still makes me laugh and have fun whenever I launch it to this very day. Over 12 years of endless entertainment. No other game on this planet has given me more entertainment and enjoyment than Counter-Strike 1.6 has and I doubt no game ever will.  Reason i've only got 38 hours here is because I no longer use the account I originally played cs 1.6 on.   func_vehicle is what makes this Counter Strike game the best out of all the others in the franchise.  Find a server that has car maps or maps with func_vehicle entities and you will have endless fun running over teammates and enemies in all kinds of hilarious and goofy vehicles not giving a care in the world.  You can drive a fork with a meatball on the end of it. Do i need to say more?  Mods on this game are amazing too. There is a mod where you can catch pokemon, level them up, train them and use their skills. Call of Duty mod that is suprisingly better than cod its self, Warcraft mods, zombie mods, basebuilder and so on...  There is even a map for the jailbreak gamemode that has driveable snowmobiles.   1337/10  Leet crew 5 lyf  Kicks csgo's â™¥â™¥â™¥ by a mile. I forgot how good wallbanging is in this game.  P.S - CS 1.6 is the only Counter Strike game where you can headshot with a knife or buy Riot Shields. Enjoy!  Oh yeah, you don't have to pay to use sprays in this game either.",1,1,1
10,Counter-Strike,"Well, look at my hours played you can already tell if it's a good game or not.         (YES IT IS)",1,1,0
10,Counter-Strike,Still better than Call of Duty!,1,1,0
